Time,Moment_My_N-m,Curvature_phi_y_rad/m
6.770810e+06,-4.446630e-17,-7.558920e+05
6.774480e+06,1.861590e-17,-7.557600e+05
6.777950e+06,8.332230e-17,-7.556290e+05
6.781200e+06,1.277550e-16,-7.555000e+05
6.784250e+06,1.781120e-16,-7.553740e+05
6.787160e+06,2.207510e-16,-7.552470e+05
6.790020e+06,2.699570e-16,-7.551180e+05
6.792800e+06,3.189870e-16,-7.549890e+05
6.795490e+06,3.620330e-16,-7.548580e+05
6.798120e+06,4.017000e-16,-7.547250e+05
6.800690e+06,4.444670e-16,-7.545920e+05
6.753930e+06,-9.401160e-16,-7.545400e+05
6.759370e+06,-1.044510e-15,-7.543760e+05
6.763080e+06,-1.183410e-15,-7.542200e+05
6.766550e+06,-1.338500e-15,-7.540620e+05
6.730020e+06,-9.502100e-16,-7.548070e+05
6.695980e+06,-4.103970e-16,-7.551390e+05
6.701330e+06,5.675770e-16,-7.549440e+05
6.705780e+06,8.247020e-16,-7.547600e+05
6.710060e+06,1.055150e-15,-7.545780e+05
6.674160e+06,-4.432350e-16,-7.544160e+05
6.678870e+06,-8.568130e-16,-7.542220e+05
6.682790e+06,-9.752340e-16,-7.540440e+05
6.686550e+06,-1.089790e-15,-7.538700e+05
6.690140e+06,-1.186650e-15,-7.536990e+05
6.693500e+06,-1.296120e-15,-7.535290e+05
6.696690e+06,-1.412710e-15,-7.533620e+05
6.699740e+06,-1.531660e-15,-7.531960e+05
6.702610e+06,-1.646150e-15,-7.530320e+05
6.705350e+06,-1.753400e-15,-7.528700e+05
6.708010e+06,-1.869320e-15,-7.527080e+05
6.710520e+06,-1.972150e-15,-7.525470e+05
6.712940e+06,-2.073880e-15,-7.523850e+05
6.715230e+06,-2.171970e-15,-7.522240e+05
6.717410e+06,-2.273890e-15,-7.520630e+05
6.719460e+06,-2.364770e-15,-7.519030e+05
6.721300e+06,-2.437870e-15,-7.517430e+05
6.722930e+06,-2.523330e-15,-7.515840e+05
6.676410e+06,1.706010e-16,-7.514920e+05
6.680430e+06,1.213650e-15,-7.513150e+05
6.683060e+06,1.044590e-15,-7.511510e+05
6.655850e+06,3.399410e-16,-7.155940e+05
6.659650e+06,1.488630e-16,-7.163740e+05
6.662740e+06,-9.996600e-17,-7.169790e+05
6.665550e+06,-2.588010e-16,-7.175280e+05
6.668270e+06,-4.094680e-16,-7.180330e+05
6.670910e+06,-5.547080e-16,-7.185190e+05
6.673480e+06,-6.902050e-16,-7.189880e+05
6.590090e+06,4.386620e-17,-7.203110e+05
6.596530e+06,1.008990e-15,-7.207270e+05
6.574180e+06,2.537270e-16,-7.216030e+05
6.532940e+06,-2.253550e-16,-7.220040e+05
6.541720e+06,2.817260e-16,-7.221600e+05
6.547720e+06,1.825260e-16,-7.221560e+05
6.553180e+06,1.581860e-16,-7.220460e+05
6.558220e+06,1.550300e-16,-7.219130e+05
6.562920e+06,9.155450e-17,-7.217730e+05
6.544710e+06,-1.316940e-15,-7.215630e+05
6.528530e+06,-8.890200e-16,-7.212600e+05
6.534250e+06,-1.583050e-16,-7.210610e+05
6.538430e+06,1.034820e-15,-7.208790e+05
6.502050e+06,-2.295740e-16,-7.213710e+05
6.466460e+06,-5.759610e-16,-7.212370e+05
6.472700e+06,1.430460e-16,-7.209720e+05
6.477750e+06,2.495680e-16,-7.207120e+05
6.482330e+06,3.069000e-16,-7.204500e+05
6.486610e+06,3.194650e-16,-7.201780e+05
6.490710e+06,2.957840e-16,-7.198970e+05
6.494450e+06,2.323550e-16,-7.196070e+05
6.497760e+06,1.391300e-16,-7.193070e+05
6.500780e+06,4.755720e-17,-7.189970e+05
6.503570e+06,-4.768130e-17,-7.186770e+05
6.506060e+06,-1.303880e-16,-7.183480e+05
6.469770e+06,-1.083610e-15,-7.179420e+05
6.473280e+06,5.821160e-16,-7.175610e+05
6.475750e+06,1.148910e-15,-7.171880e+05
6.477910e+06,1.530080e-15,-7.168060e+05
6.479720e+06,1.815110e-15,-7.164090e+05
6.481250e+06,2.049410e-15,-7.159950e+05
6.482690e+06,2.249240e-15,-7.155640e+05
6.484010e+06,2.426040e-15,-7.151160e+05
6.485260e+06,2.580370e-15,-7.146490e+05
6.486470e+06,2.712720e-15,-7.141640e+05
6.487610e+06,2.850450e-15,-7.136610e+05
6.488680e+06,2.967100e-15,-7.131400e+05
6.489590e+06,3.079770e-15,-7.126010e+05
6.455200e+06,9.152320e-16,-7.123080e+05
6.423440e+06,-2.261320e-16,-7.117760e+05
6.427120e+06,2.922090e-16,-7.111410e+05
6.429780e+06,7.479750e-16,-7.105150e+05
6.431980e+06,8.808280e-16,-7.098970e+05
6.399470e+06,-3.688030e-16,-7.090820e+05
6.402880e+06,1.635050e-16,-7.084200e+05
6.405720e+06,4.550710e-16,-7.081790e+05
6.408300e+06,7.458280e-17,-7.079790e+05
6.410800e+06,2.233450e-16,-7.077280e+05
6.412910e+06,3.398460e-16,-7.074800e+05
6.414850e+06,4.259200e-16,-7.072080e+05
6.416640e+06,5.232140e-16,-7.069380e+05
6.418330e+06,6.084580e-16,-7.066710e+05
6.419980e+06,6.890380e-16,-7.064050e+05
6.421610e+06,7.645650e-16,-7.061400e+05
6.423160e+06,8.430880e-16,-7.058770e+05
6.424520e+06,9.103150e-16,-7.056140e+05
6.425740e+06,9.749750e-16,-7.053530e+05
6.406090e+06,4.162580e-16,-6.798800e+05
6.408320e+06,2.748940e-16,-6.803900e+05
6.409960e+06,9.680040e-17,-6.808410e+05
6.411420e+06,-9.544080e-17,-6.812650e+05
6.412750e+06,-2.786010e-16,-6.816880e+05
6.414020e+06,-4.324240e-16,-6.821020e+05
6.415260e+06,-5.668110e-16,-6.824920e+05
6.381020e+06,-2.485840e-16,-6.835520e+05
6.384390e+06,6.108280e-16,-6.837520e+05
6.350640e+06,4.081630e-17,-6.837060e+05
6.354450e+06,-1.416490e-16,-6.835800e+05
6.357350e+06,-3.919010e-16,-6.834450e+05
6.359770e+06,-5.371470e-16,-6.833000e+05
6.362040e+06,-7.294350e-16,-6.831590e+05
6.364160e+06,-8.782280e-16,-6.830200e+05
6.366070e+06,-1.015810e-15,-6.828830e+05
6.367910e+06,-1.152090e-15,-6.827470e+05
6.369680e+06,-1.274780e-15,-6.826140e+05
6.371270e+06,-1.388600e-15,-6.824850e+05
6.372710e+06,-1.504190e-15,-6.823610e+05
6.374000e+06,-1.609020e-15,-6.822390e+05
6.375090e+06,-1.712930e-15,-6.821190e+05
6.376000e+06,-1.804030e-15,-6.820020e+05
6.376870e+06,-1.899970e-15,-6.818860e+05
6.377640e+06,-1.983030e-15,-6.817710e+05
6.378300e+06,-2.061550e-15,-6.816580e+05
6.378830e+06,-2.140160e-15,-6.815480e+05
6.379250e+06,-2.211940e-15,-6.814410e+05
6.379580e+06,-2.281130e-15,-6.813360e+05
6.379810e+06,-2.348450e-15,-6.812310e+05
6.379940e+06,-2.411580e-15,-6.811280e+05
6.380020e+06,-2.474850e-15,-6.810260e+05
6.380080e+06,-2.530150e-15,-6.809250e+05
6.380120e+06,-2.579920e-15,-6.808240e+05
6.380160e+06,-2.632050e-15,-6.807250e+05
6.380190e+06,-2.680780e-15,-6.806260e+05
6.380210e+06,-2.719190e-15,-6.805290e+05
6.380220e+06,-2.767370e-15,-6.804320e+05
6.380230e+06,-2.806340e-15,-6.803360e+05
6.344320e+06,4.637800e-16,-6.802920e+05
6.346670e+06,1.942740e-15,-6.801740e+05
6.347670e+06,1.915720e-15,-6.800750e+05
6.348470e+06,1.865690e-15,-6.799790e+05
6.349240e+06,1.891810e-15,-6.798870e+05
6.349980e+06,1.859290e-15,-6.797950e+05
6.350690e+06,1.791940e-15,-6.797050e+05
6.351400e+06,1.720520e-15,-6.796160e+05
6.352080e+06,1.646030e-15,-6.795280e+05
6.352720e+06,1.578740e-15,-6.794410e+05
6.353300e+06,1.512880e-15,-6.793550e+05
6.353820e+06,1.448310e-15,-6.792690e+05
6.354260e+06,1.393650e-15,-6.791850e+05
6.354560e+06,1.356030e-15,-6.791010e+05
6.354520e+06,1.307720e-15,-6.790170e+05
6.354490e+06,1.265970e-15,-6.789330e+05
6.354210e+06,1.208820e-15,-6.788510e+05
6.353800e+06,1.154490e-15,-6.787680e+05
6.353240e+06,1.101800e-15,-6.786870e+05
6.352490e+06,1.054620e-15,-6.786050e+05
6.351500e+06,1.003300e-15,-6.785230e+05
6.350200e+06,9.629280e-16,-6.784410e+05
6.348570e+06,9.147090e-16,-6.783590e+05
6.346540e+06,8.683460e-16,-6.782770e+05
6.344170e+06,8.207210e-16,-6.781950e+05
6.341460e+06,7.771870e-16,-6.781130e+05
6.338470e+06,7.392860e-16,-6.780310e+05
6.238540e+06,4.701940e-16,-6.703350e+05
6.253910e+06,5.231590e-16,-6.725640e+05
6.266890e+06,6.088970e-16,-6.749040e+05
6.276290e+06,5.202810e-16,-6.772630e+05
6.284340e+06,2.860510e-17,-6.788320e+05
6.285460e+06,-5.207250e-16,-6.787620e+05
6.283650e+06,-7.321350e-16,-6.786690e+05
6.142700e+06,1.012310e-15,-6.794380e+05
6.151340e+06,1.320660e-15,-6.792970e+05
6.159630e+06,1.382960e-15,-6.791570e+05
6.166970e+06,1.335830e-15,-6.790190e+05
6.173190e+06,1.070650e-15,-6.788850e+05
6.177440e+06,-3.259970e-16,-6.787720e+05
6.143950e+06,-5.178780e-16,-6.787020e+05
6.148880e+06,8.941110e-16,-6.785970e+05
6.153090e+06,1.355440e-15,-6.784920e+05
6.156400e+06,1.630590e-15,-6.783920e+05
