
--- Dataset Generation Session Started: 2025-12-12 11:32:11.054280 ---
Attempting to generate 200 NEW samples (starting from ID 0).

--- Dataset Generation Session Finished: 2025-12-12 16:24:10.683218 ---
Total Attempts: 135
Successful New Samples: 100
Failed Attempts: 35
Total Session Duration: 5160.74s (86.01 min)

--- Dataset Generation Session Started: 2025-12-12 17:09:07.140814 ---
Target: 500 successful samples (Starting ID: 253).

Sample 253 (Run 257): SUCCESS - Success (Time: 22.31s)
Sample 254 (Run 258): SUCCESS - Success (Time: 35.16s)
Sample 255 (Run 259): SUCCESS - Success (Time: 39.87s)
Sample 256 (Run 260): SUCCESS - Success (Time: 64.77s)
Sample 257 (Run 262): SUCCESS - Success (Time: 15.09s)
Sample 258 (Run 263): SUCCESS - Success (Time: 18.76s)
Sample 259 (Run 264): SUCCESS - Success (Time: 62.90s)
Sample 260 (Run 267): SUCCESS - Success (Time: 52.98s)
Sample 261 (Run 268): SUCCESS - Success (Time: 49.01s)
Sample 262 (Run 269): SUCCESS - Success (Time: 30.84s)
Sample 263 (Run 270): SUCCESS - Success (Time: 57.07s)
Sample 264 (Run 273): SUCCESS - Success (Time: 29.93s)
Sample 265 (Run 274): SUCCESS - Success (Time: 96.98s)
Sample 266 (Run 276): SUCCESS - Success (Time: 54.55s)
Sample 267 (Run 277): SUCCESS - Success (Time: 52.56s)
Sample 268 (Run 280): SUCCESS - Success (Time: 45.34s)
Sample 269 (Run 283): SUCCESS - Success (Time: 18.25s)
Sample 270 (Run 284): SUCCESS - Success (Time: 31.22s)
Sample 271 (Run 285): SUCCESS - Success (Time: 18.98s)
Sample 272 (Run 286): SUCCESS - Success (Time: 104.17s)
Sample 273 (Run 287): SUCCESS - Success (Time: 61.20s)
Sample 274 (Run 290): SUCCESS - Success (Time: 40.93s)
Sample 275 (Run 291): SUCCESS - Success (Time: 110.28s)
Sample 276 (Run 292): SUCCESS - Success (Time: 34.30s)
Sample 277 (Run 293): SUCCESS - Success (Time: 21.58s)
Sample 278 (Run 294): SUCCESS - Success (Time: 25.67s)
Sample 279 (Run 295): SUCCESS - Success (Time: 39.70s)
Sample 280 (Run 296): SUCCESS - Success (Time: 22.37s)
Sample 281 (Run 298): SUCCESS - Success (Time: 26.32s)
Sample 282 (Run 299): SUCCESS - Success (Time: 18.53s)
Sample 283 (Run 300): SUCCESS - Success (Time: 68.42s)
Sample 284 (Run 301): SUCCESS - Success (Time: 44.02s)
Sample 285 (Run 303): SUCCESS - Success (Time: 56.41s)
Sample 286 (Run 304): SUCCESS - Success (Time: 23.37s)
Sample 287 (Run 307): SUCCESS - Success (Time: 29.12s)
Sample 288 (Run 308): SUCCESS - Success (Time: 196.98s)
Sample 289 (Run 309): SUCCESS - Success (Time: 29.97s)
Sample 290 (Run 310): SUCCESS - Success (Time: 70.77s)
Sample 291 (Run 311): SUCCESS - Success (Time: 58.41s)
Sample 292 (Run 312): SUCCESS - Success (Time: 38.87s)
Sample 293 (Run 315): SUCCESS - Success (Time: 41.84s)
Sample 294 (Run 316): SUCCESS - Success (Time: 44.08s)
Sample 295 (Run 318): SUCCESS - Success (Time: 25.53s)
Sample 296 (Run 319): SUCCESS - Success (Time: 48.12s)
Sample 297 (Run 320): SUCCESS - Success (Time: 23.99s)
Sample 298 (Run 321): SUCCESS - Success (Time: 34.80s)
Sample 299 (Run 322): SUCCESS - Success (Time: 51.41s)
Sample 300 (Run 323): SUCCESS - Success (Time: 76.24s)
Sample 301 (Run 324): SUCCESS - Success (Time: 52.88s)
Sample 302 (Run 325): SUCCESS - Success (Time: 15.72s)
Sample 303 (Run 326): SUCCESS - Success (Time: 33.26s)
Sample 304 (Run 328): SUCCESS - Success (Time: 41.95s)
Sample 305 (Run 330): SUCCESS - Success (Time: 17.56s)
Sample 306 (Run 334): SUCCESS - Success (Time: 52.81s)
Sample 307 (Run 335): SUCCESS - Success (Time: 45.40s)
Sample 308 (Run 337): SUCCESS - Success (Time: 51.26s)
Sample 309 (Run 338): SUCCESS - Success (Time: 14.41s)
Sample 310 (Run 340): SUCCESS - Success (Time: 51.45s)
Sample 311 (Run 341): SUCCESS - Success (Time: 44.29s)
Sample 312 (Run 344): SUCCESS - Success (Time: 45.28s)
Sample 313 (Run 345): SUCCESS - Success (Time: 40.70s)
Sample 314 (Run 347): SUCCESS - Success (Time: 41.76s)
Sample 315 (Run 348): SUCCESS - Success (Time: 46.49s)
Sample 316 (Run 349): SUCCESS - Success (Time: 52.44s)
Sample 317 (Run 350): SUCCESS - Success (Time: 23.52s)
Sample 318 (Run 351): SUCCESS - Success (Time: 42.79s)
Sample 319 (Run 352): SUCCESS - Success (Time: 19.24s)
Sample 320 (Run 353): SUCCESS - Success (Time: 68.08s)
Sample 321 (Run 354): SUCCESS - Success (Time: 43.47s)
Sample 322 (Run 355): SUCCESS - Success (Time: 14.77s)
Sample 323 (Run 358): SUCCESS - Success (Time: 45.34s)
Sample 324 (Run 359): SUCCESS - Success (Time: 30.91s)
Sample 325 (Run 361): SUCCESS - Success (Time: 28.41s)
Sample 326 (Run 362): SUCCESS - Success (Time: 32.96s)
Sample 327 (Run 364): SUCCESS - Success (Time: 24.73s)
Sample 328 (Run 365): SUCCESS - Success (Time: 29.18s)
Sample 329 (Run 366): SUCCESS - Success (Time: 37.78s)
Sample 330 (Run 368): SUCCESS - Success (Time: 43.99s)
Sample 331 (Run 369): SUCCESS - Success (Time: 28.30s)
Sample 332 (Run 371): SUCCESS - Success (Time: 25.87s)
Sample 333 (Run 372): SUCCESS - Success (Time: 56.04s)
Sample 334 (Run 373): SUCCESS - Success (Time: 21.36s)
Sample 335 (Run 375): SUCCESS - Success (Time: 44.77s)
Sample 336 (Run 376): SUCCESS - Success (Time: 35.93s)
Sample 337 (Run 379): SUCCESS - Success (Time: 30.43s)
Sample 338 (Run 380): SUCCESS - Success (Time: 46.80s)
Sample 339 (Run 381): SUCCESS - Success (Time: 43.57s)
Sample 340 (Run 382): SUCCESS - Success (Time: 19.81s)
Sample 341 (Run 384): SUCCESS - Success (Time: 41.98s)
Sample 342 (Run 385): SUCCESS - Success (Time: 60.58s)
Sample 343 (Run 387): SUCCESS - Success (Time: 66.51s)
Sample 344 (Run 389): SUCCESS - Success (Time: 61.93s)
Sample 345 (Run 391): SUCCESS - Success (Time: 54.99s)
Sample 346 (Run 393): SUCCESS - Success (Time: 30.23s)
Sample 347 (Run 394): SUCCESS - Success (Time: 41.77s)
Sample 348 (Run 398): SUCCESS - Success (Time: 19.96s)
Sample 349 (Run 400): SUCCESS - Success (Time: 77.41s)
Sample 350 (Run 402): SUCCESS - Success (Time: 39.73s)
Sample 351 (Run 404): SUCCESS - Success (Time: 36.62s)
Sample 352 (Run 405): SUCCESS - Success (Time: 55.98s)
Sample 353 (Run 406): SUCCESS - Success (Time: 328.55s)
Sample 354 (Run 407): SUCCESS - Success (Time: 39.10s)
Sample 355 (Run 408): SUCCESS - Success (Time: 34.07s)
Sample 356 (Run 409): SUCCESS - Success (Time: 62.05s)
Sample 357 (Run 410): SUCCESS - Success (Time: 35.71s)
Sample 358 (Run 414): SUCCESS - Success (Time: 27.61s)
Sample 359 (Run 415): SUCCESS - Success (Time: 30.30s)
Sample 360 (Run 416): SUCCESS - Success (Time: 27.85s)
Sample 361 (Run 418): SUCCESS - Success (Time: 64.09s)
Sample 362 (Run 419): SUCCESS - Success (Time: 48.56s)
Sample 363 (Run 420): SUCCESS - Success (Time: 39.66s)
Sample 364 (Run 422): SUCCESS - Success (Time: 69.00s)
Sample 365 (Run 423): SUCCESS - Success (Time: 37.84s)
Sample 366 (Run 426): SUCCESS - Success (Time: 16.50s)
Sample 367 (Run 428): SUCCESS - Success (Time: 23.41s)
Sample 368 (Run 429): SUCCESS - Success (Time: 38.60s)
Sample 369 (Run 430): SUCCESS - Success (Time: 16.72s)
Sample 370 (Run 431): SUCCESS - Success (Time: 41.63s)
Sample 371 (Run 432): SUCCESS - Success (Time: 39.51s)
Sample 372 (Run 433): SUCCESS - Success (Time: 41.70s)
Sample 373 (Run 436): SUCCESS - Success (Time: 77.11s)
Sample 374 (Run 437): SUCCESS - Success (Time: 51.97s)
Sample 375 (Run 438): SUCCESS - Success (Time: 38.31s)
Sample 376 (Run 439): SUCCESS - Success (Time: 33.91s)
Sample 377 (Run 440): SUCCESS - Success (Time: 29.65s)
Sample 378 (Run 441): SUCCESS - Success (Time: 27.20s)
Sample 379 (Run 442): SUCCESS - Success (Time: 58.93s)
Sample 380 (Run 443): SUCCESS - Success (Time: 35.14s)
Sample 381 (Run 444): SUCCESS - Success (Time: 24.37s)
Sample 382 (Run 446): SUCCESS - Success (Time: 59.83s)
Sample 383 (Run 447): SUCCESS - Success (Time: 57.48s)
Sample 384 (Run 449): SUCCESS - Success (Time: 46.03s)
Sample 385 (Run 450): SUCCESS - Success (Time: 35.89s)
Sample 386 (Run 451): SUCCESS - Success (Time: 39.87s)
Sample 387 (Run 453): SUCCESS - Success (Time: 15.61s)
Sample 388 (Run 454): SUCCESS - Success (Time: 34.85s)
Sample 389 (Run 455): SUCCESS - Success (Time: 42.94s)
Sample 390 (Run 456): SUCCESS - Success (Time: 43.63s)
